# 1.This file shows the parsed IR info when graph evaluating failed to help find the problem.
# 2.You can search the last `------------------------>` to the node which is inferred failed.
# 3.Refer to https://www.mindspore.cn/search?inputValue=analyze_fail.dat to get more instructions.
# ===============================================================================

# [No.1] construct_wrapper.42
# In file /home/hjh/.conda/envs/md17/lib/python3.9/site-packages/mindspore/nn/wrap/loss_scale.py(330)/    def construct(self, *inputs):/
funcgraph fg_42(
        %para1 : Tensor(F32)[3, 40960, 6]    # inputs0
        , %para83 : Ref[Tensor(F32)][64]    # network.encoder.2.lse2.mlp.conv.bias
        , %para84 : Ref[Tensor(F32)][64]    # network.encoder.2.lse2.mlp.batch_norm.gamma
        , %para85 : Ref[Tensor(F32)][64]    # network.encoder.2.lse2.mlp.batch_norm.beta
        , %para86 : Ref[Tensor(F32)][64]    # network.encoder.2.pool1.mlp.conv.bias
        , %para87 : Ref[Tensor(F32)][64]    # network.encoder.2.pool1.mlp.batch_norm.gamma
        , %para88 : Ref[Tensor(F32)][64]    # network.encoder.2.pool1.mlp.batch_norm.beta
        , %para89 : Ref[Tensor(F32)][128]    # network.encoder.2.pool2.mlp.conv.bias
        , %para90 : Ref[Tensor(F32)][128]    # network.encoder.2.pool2.mlp.batch_norm.gamma
        , %para91 : Ref[Tensor(F32)][128]    # network.encoder.2.pool2.mlp.batch_norm.beta
        , %para92 : Ref[Tensor(F32)][128]    # network.encoder.3.mlp1.conv.bias
        , %para93 : Ref[Tensor(F32)][128]    # network.encoder.3.mlp1.batch_norm.gamma
        , %para94 : Ref[Tensor(F32)][128]    # network.encoder.3.mlp1.batch_norm.beta
        , %para95 : Ref[Tensor(F32)][512]    # network.encoder.3.mlp2.conv.bias
        , %para96 : Ref[Tensor(F32)][512]    # network.encoder.3.mlp2.batch_norm.gamma
        , %para97 : Ref[Tensor(F32)][512]    # network.encoder.3.mlp2.batch_norm.beta
        , %para98 : Ref[Tensor(F32)][512]    # network.encoder.3.shortcut.conv.bias
        , %para99 : Ref[Tensor(F32)][512]    # network.encoder.3.shortcut.batch_norm.gamma
        , %para100 : Ref[Tensor(F32)][512]    # network.encoder.3.shortcut.batch_norm.beta
        , %para101 : Ref[Tensor(F32)][128]    # network.encoder.3.lse1.mlp.conv.bias
        , %para102 : Ref[Tensor(F32)][128]    # network.encoder.3.lse1.mlp.batch_norm.gamma
        , %para103 : Ref[Tensor(F32)][128]    # network.encoder.3.lse1.mlp.batch_norm.beta
        , %para104 : Ref[Tensor(F32)][128]    # network.encoder.3.lse2.mlp.conv.bias
        , %para105 : Ref[Tensor(F32)][128]    # network.encoder.3.lse2.mlp.batch_norm.gamma
        , %para106 : Ref[Tensor(F32)][128]    # network.encoder.3.lse2.mlp.batch_norm.beta
        , %para107 : Ref[Tensor(F32)][128]    # network.encoder.3.pool1.mlp.conv.bias
        , %para108 : Ref[Tensor(F32)][128]    # network.encoder.3.pool1.mlp.batch_norm.gamma
        , %para109 : Ref[Tensor(F32)][128]    # network.encoder.3.pool1.mlp.batch_norm.beta
        , %para110 : Ref[Tensor(F32)][256]    # network.encoder.3.pool2.mlp.conv.bias
        , %para111 : Ref[Tensor(F32)][256]    # network.encoder.3.pool2.mlp.batch_norm.gamma
        , %para112 : Ref[Tensor(F32)][256]    # network.encoder.3.pool2.mlp.batch_norm.beta
        , %para113 : Ref[Tensor(F32)][256]    # network.encoder.4.mlp1.conv.bias
        , %para114 : Ref[Tensor(F32)][256]    # network.encoder.4.mlp1.batch_norm.gamma
        , %para115 : Ref[Tensor(F32)][256]    # network.encoder.4.mlp1.batch_norm.beta
        , %para116 : Ref[Tensor(F32)][1024]    # network.encoder.4.mlp2.conv.bias
        , %para117 : Ref[Tensor(F32)][1024]    # network.encoder.4.mlp2.batch_norm.gamma
        , %para118 : Ref[Tensor(F32)][1024]    # network.encoder.4.mlp2.batch_norm.beta
        , %para119 : Ref[Tensor(F32)][1024]    # network.encoder.4.shortcut.conv.bias
        , %para120 : Ref[Tensor(F32)][1024]    # network.encoder.4.shortcut.batch_norm.gamma
        , %para121 : Ref[Tensor(F32)][1024]    # network.encoder.4.shortcut.batch_norm.beta
        , %para122 : Ref[Tensor(F32)][256]    # network.encoder.4.lse1.mlp.conv.bias
        , %para123 : Ref[Tensor(F32)][256]    # network.encoder.4.lse1.mlp.batch_norm.gamma
        , %para124 : Ref[Tensor(F32)][256]    # network.encoder.4.lse1.mlp.batch_norm.beta
        , %para125 : Ref[Tensor(F32)][256]    # network.encoder.4.lse2.mlp.conv.bias
        , %para126 : Ref[Tensor(F32)][256]    # network.encoder.4.lse2.mlp.batch_norm.gamma
        , %para127 : Ref[Tensor(F32)][256]    # network.encoder.4.lse2.mlp.batch_norm.beta
        , %para128 : Ref[Tensor(F32)][256]    # network.encoder.4.pool1.mlp.conv.bias
        , %para129 : Ref[Tensor(F32)][256]    # network.encoder.4.pool1.mlp.batch_norm.gamma
        , %para130 : Ref[Tensor(F32)][256]    # network.encoder.4.pool1.mlp.batch_norm.beta
        , %para131 : Ref[Tensor(F32)][512]    # network.encoder.4.pool2.mlp.conv.bias
        , %para132 : Ref[Tensor(F32)][512]    # network.encoder.4.pool2.mlp.batch_norm.gamma
        , %para133 : Ref[Tensor(F32)][512]    # network.encoder.4.pool2.mlp.batch_norm.beta
        , %para134 : Ref[Tensor(F32)][1024]    # network.mlp.conv.bias
        , %para135 : Ref[Tensor(F32)][1024]    # network.mlp.batch_norm.gamma
        , %para136 : Ref[Tensor(F32)][1024]    # network.mlp.batch_norm.beta
        , %para137 : Ref[Tensor(F32)][13]    # network.supervise.0.conv.bias
        , %para138 : Ref[Tensor(F32)][13]    # network.supervise.0.batch_norm.gamma
        , %para139 : Ref[Tensor(F32)][13]    # network.supervise.0.batch_norm.beta
        , %para140 : Ref[Tensor(F32)][13]    # network.supervise.1.conv.bias
        , %para141 : Ref[Tensor(F32)][13]    # network.supervise.1.batch_norm.gamma
        , %para142 : Ref[Tensor(F32)][13]    # network.supervise.1.batch_norm.beta
        , %para143 : Ref[Tensor(F32)][13]    # network.supervise.2.conv.bias
        , %para144 : Ref[Tensor(F32)][13]    # network.supervise.2.batch_norm.gamma
        , %para145 : Ref[Tensor(F32)][13]    # network.supervise.2.batch_norm.beta
        , %para146 : Ref[Tensor(F32)][13]    # network.supervise.3.conv.bias
        , %para147 : Ref[Tensor(F32)][13]    # network.supervise.3.batch_norm.gamma
        , %para148 : Ref[Tensor(F32)][13]    # network.supervise.3.batch_norm.beta
        , %para149 : Ref[Tensor(F32)][13]    # network.supervise.4.conv.bias
        , %para150 : Ref[Tensor(F32)][13]    # network.supervise.4.batch_norm.gamma
        , %para151 : Ref[Tensor(F32)][13]    # network.supervise.4.batch_norm.beta
        , %para152 : Ref[Tensor(F32)][13]    # network.supervise.5.conv.bias
        , %para153 : Ref[Tensor(F32)][13]    # network.supervise.5.batch_norm.gamma
        , %para154 : Ref[Tensor(F32)][13]    # network.supervise.5.batch_norm.beta
        , %para155 : Ref[Tensor(F32)][10]    # network.Se.0.conv.bias
        , %para156 : Ref[Tensor(F32)][10]    # network.Se.0.batch_norm.gamma
        , %para157 : Ref[Tensor(F32)][10]    # network.Se.0.batch_norm.beta
        , %para158 : Ref[Tensor(F32)][10]    # network.Se.1.conv.bias
        , %para159 : Ref[Tensor(F32)][10]    # network.Se.1.batch_norm.gamma
        , %para160 : Ref[Tensor(F32)][10]    # network.Se.1.batch_norm.beta
        , %para161 : Ref[Tensor(F32)][10]    # network.Se.2.conv.bias
        , %para162 : Ref[Tensor(F32)][10]    # network.Se.2.batch_norm.gamma
        , %para163 : Ref[Tensor(F32)][10]    # network.Se.2.batch_norm.beta
        , %para164 : Ref[Tensor(F32)][10]    # network.Se.3.conv.bias
        , %para165 : Ref[Tensor(F32)][10]    # network.Se.3.batch_norm.gamma
        , %para166 : Ref[Tensor(F32)][10]    # network.Se.3.batch_norm.beta
        , %para167 : Ref[Tensor(F32)][512]    # network.decoder.0.conv.bias
        , %para168 : Ref[Tensor(F32)][512]    # network.decoder.0.batch_norm.gamma
        , %para169 : Ref[Tensor(F32)][512]    # network.decoder.0.batch_norm.beta
        , %para170 : Ref[Tensor(F32)][256]    # network.decoder.1.conv.bias
        , %para171 : Ref[Tensor(F32)][256]    # network.decoder.1.batch_norm.gamma
        , %para172 : Ref[Tensor(F32)][256]    # network.decoder.1.batch_norm.beta
        , %para173 : Ref[Tensor(F32)][128]    # network.decoder.2.conv.bias
        , %para174 : Ref[Tensor(F32)][128]    # network.decoder.2.batch_norm.gamma
        , %para175 : Ref[Tensor(F32)][128]    # network.decoder.2.batch_norm.beta
        , %para176 : Ref[Tensor(F32)][32]    # network.decoder.3.conv.bias
        , %para177 : Ref[Tensor(F32)][32]    # network.decoder.3.batch_norm.gamma
        , %para178 : Ref[Tensor(F32)][32]    # network.decoder.3.batch_norm.beta
        , %para179 : Ref[Tensor(F32)][32]    # network.decoder.4.conv.bias
        , %para180 : Ref[Tensor(F32)][32]    # network.decoder.4.batch_norm.gamma
        , %para181 : Ref[Tensor(F32)][32]    # network.decoder.4.batch_norm.beta
        , %para182 : Ref[Tensor(F32)][64]    # network.fc_end.0.conv.bias
        , %para183 : Ref[Tensor(F32)][64]    # network.fc_end.0.batch_norm.gamma
        , %para184 : Ref[Tensor(F32)][64]    # network.fc_end.0.batch_norm.beta
        , %para185 : Ref[Tensor(F32)][32]    # network.fc_end.1.conv.bias
        , %para186 : Ref[Tensor(F32)][32]    # network.fc_end.1.batch_norm.gamma
        , %para187 : Ref[Tensor(F32)][32]    # network.fc_end.1.batch_norm.beta
        , %para188 : Ref[Tensor(F32)][13]    # network.fc_end.3.conv.bias
        , %para189 : Ref[Tensor(F32)][13]    # network.fc_end.3.batch_norm.gamma
        , %para190 : Ref[Tensor(F32)][13]    # network.fc_end.3.batch_norm.beta
        , %para191 : Ref[Tensor(F32)][8, 6]    # network.fc_start.weight
        , %para192 : Ref[Tensor(F32)][8, 8, 1, 1]    # network.encoder.0.mlp1.conv.weight
        , %para193 : Ref[Tensor(F32)][32, 16, 1, 1]    # network.encoder.0.mlp2.conv.weight
        , %para194 : Ref[Tensor(F32)][32, 8, 1, 1]    # network.encoder.0.shortcut.conv.weight
        , %para195 : Ref[Tensor(F32)][8, 10, 1, 1]    # network.encoder.0.lse1.mlp.conv.weight
        , %para196 : Ref[Tensor(F32)][8, 8, 1, 1]    # network.encoder.0.lse2.mlp.conv.weight
        , %para197 : Ref[Tensor(F32)][16, 16]    # network.encoder.0.pool1.score_fn.0.weight
        , %para198 : Ref[Tensor(F32)][8, 16, 1, 1]    # network.encoder.0.pool1.mlp.conv.weight
        , %para199 : Ref[Tensor(F32)][16, 16]    # network.encoder.0.pool2.score_fn.0.weight
        , %para200 : Ref[Tensor(F32)][16, 16, 1, 1]    # network.encoder.0.pool2.mlp.conv.weight
        , %para201 : Ref[Tensor(F32)][32, 32, 1, 1]    # network.encoder.1.mlp1.conv.weight
        , %para202 : Ref[Tensor(F32)][128, 64, 1, 1]    # network.encoder.1.mlp2.conv.weight
        , %para203 : Ref[Tensor(F32)][128, 32, 1, 1]    # network.encoder.1.shortcut.conv.weight
        , %para204 : Ref[Tensor(F32)][32, 10, 1, 1]    # network.encoder.1.lse1.mlp.conv.weight
        , %para205 : Ref[Tensor(F32)][32, 32, 1, 1]    # network.encoder.1.lse2.mlp.conv.weight
        , %para206 : Ref[Tensor(F32)][64, 64]    # network.encoder.1.pool1.score_fn.0.weight
        , %para207 : Ref[Tensor(F32)][32, 64, 1, 1]    # network.encoder.1.pool1.mlp.conv.weight
        , %para208 : Ref[Tensor(F32)][64, 64]    # network.encoder.1.pool2.score_fn.0.weight
        , %para209 : Ref[Tensor(F32)][64, 64, 1, 1]    # network.encoder.1.pool2.mlp.conv.weight
        , %para210 : Ref[Tensor(F32)][64, 128, 1, 1]    # network.encoder.2.mlp1.conv.weight
        , %para211 : Ref[Tensor(F32)][256, 128, 1, 1]    # network.encoder.2.mlp2.conv.weight
        , %para212 : Ref[Tensor(F32)][256, 128, 1, 1]    # network.encoder.2.shortcut.conv.weight
        , %para213 : Ref[Tensor(F32)][64, 10, 1, 1]    # network.encoder.2.lse1.mlp.conv.weight
        , %para214 : Ref[Tensor(F32)][64, 64, 1, 1]    # network.encoder.2.lse2.mlp.conv.weight
        , %para215 : Ref[Tensor(F32)][128, 128]    # network.encoder.2.pool1.score_fn.0.weight
        , %para216 : Ref[Tensor(F32)][64, 128, 1, 1]    # network.encoder.2.pool1.mlp.conv.weight
        , %para217 : Ref[Tensor(F32)][128, 128]    # network.encoder.2.pool2.score_fn.0.weight
        , %para218 : Ref[Tensor(F32)][128, 128, 1, 1]    # network.encoder.2.pool2.mlp.conv.weight
        , %para219 : Ref[Tensor(F32)][128, 256, 1, 1]    # network.encoder.3.mlp1.conv.weight
        , %para220 : Ref[Tensor(F32)][512, 256, 1, 1]    # network.encoder.3.mlp2.conv.weight
        , %para221 : Ref[Tensor(F32)][512, 256, 1, 1]    # network.encoder.3.shortcut.conv.weight
        , %para222 : Ref[Tensor(F32)][128, 10, 1, 1]    # network.encoder.3.lse1.mlp.conv.weight
        , %para223 : Ref[Tensor(F32)][128, 128, 1, 1]    # network.encoder.3.lse2.mlp.conv.weight
        , %para224 : Ref[Tensor(F32)][256, 256]    # network.encoder.3.pool1.score_fn.0.weight
        , %para225 : Ref[Tensor(F32)][128, 256, 1, 1]    # network.encoder.3.pool1.mlp.conv.weight
        , %para226 : Ref[Tensor(F32)][256, 256]    # network.encoder.3.pool2.score_fn.0.weight
        , %para227 : Ref[Tensor(F32)][256, 256, 1, 1]    # network.encoder.3.pool2.mlp.conv.weight
        , %para228 : Ref[Tensor(F32)][256, 512, 1, 1]    # network.encoder.4.mlp1.conv.weight
        , %para229 : Ref[Tensor(F32)][1024, 512, 1, 1]    # network.encoder.4.mlp2.conv.weight
        , %para230 : Ref[Tensor(F32)][1024, 512, 1, 1]    # network.encoder.4.shortcut.conv.weight
        , %para231 : Ref[Tensor(F32)][256, 10, 1, 1]    # network.encoder.4.lse1.mlp.conv.weight
        , %para232 : Ref[Tensor(F32)][256, 256, 1, 1]    # network.encoder.4.lse2.mlp.conv.weight
        , %para233 : Ref[Tensor(F32)][512, 512]    # network.encoder.4.pool1.score_fn.0.weight
        , %para234 : Ref[Tensor(F32)][256, 512, 1, 1]    # network.encoder.4.pool1.mlp.conv.weight
        , %para235 : Ref[Tensor(F32)][512, 512]    # network.encoder.4.pool2.score_fn.0.weight
        , %para236 : Ref[Tensor(F32)][512, 512, 1, 1]    # network.encoder.4.pool2.mlp.conv.weight
        , %para237 : Ref[Tensor(F32)][1024, 1024, 1, 1]    # network.mlp.conv.weight
        , %para238 : Ref[Tensor(F32)][13, 1024, 1, 1]    # network.supervise.0.conv.weight
        , %para239 : Ref[Tensor(F32)][13, 512, 1, 1]    # network.supervise.1.conv.weight
        , %para240 : Ref[Tensor(F32)][13, 256, 1, 1]    # network.supervise.2.conv.weight
        , %para241 : Ref[Tensor(F32)][13, 128, 1, 1]    # network.supervise.3.conv.weight
        , %para242 : Ref[Tensor(F32)][13, 32, 1, 1]    # network.supervise.4.conv.weight
        , %para243 : Ref[Tensor(F32)][13, 32, 1, 1]    # network.supervise.5.conv.weight
        , %para244 : Ref[Tensor(F32)][10, 512, 1, 1]    # network.Se.0.conv.weight
        , %para245 : Ref[Tensor(F32)][10, 256, 1, 1]    # network.Se.1.conv.weight
        , %para246 : Ref[Tensor(F32)][10, 128, 1, 1]    # network.Se.2.conv.weight
        , %para247 : Ref[Tensor(F32)][10, 32, 1, 1]    # network.Se.3.conv.weight
        , %para248 : Ref[Tensor(F32)][1536, 512, 1, 1]    # network.decoder.0.conv.weight
        , %para249 : Ref[Tensor(F32)][768, 256, 1, 1]    # network.decoder.1.conv.weight
        , %para250 : Ref[Tensor(F32)][384, 128, 1, 1]    # network.decoder.2.conv.weight
        , %para251 : Ref[Tensor(F32)][160, 32, 1, 1]    # network.decoder.3.conv.weight
        , %para252 : Ref[Tensor(F32)][64, 32, 1, 1]    # network.decoder.4.conv.weight
        , %para253 : Ref[Tensor(F32)][64, 32, 1, 1]    # network.fc_end.0.conv.weight
        , %para254 : Ref[Tensor(F32)][32, 64, 1, 1]    # network.fc_end.1.conv.weight
        , %para255 : Ref[Tensor(F32)][13, 32, 1, 1]    # network.fc_end.3.conv.weight
        , %para256 : Ref[Tensor(F32)][1]    # beta1_power
        , %para257 : Ref[Tensor(F32)][1]    # beta2_power
        , %para258 : Ref[Tensor(I32)][]    # training_epoch
        , %para259 : Ref[Tensor(I32)][]    # current_iterator_step
        , %para260 : Ref[Tensor(F32)][8]    # moment1.network.fc_start.bias
        , %para261 : Ref[Tensor(F32)][8]    # moment1.network.bn_start.0.gamma
        , %para262 : Ref[Tensor(F32)][8]    # moment1.network.bn_start.0.beta
        , %para263 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.mlp1.conv.bias
        , %para264 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.mlp1.batch_norm.gamma
        , %para265 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.mlp1.batch_norm.beta
        , %para266 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.mlp2.conv.bias
        , %para267 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.mlp2.batch_norm.gamma
        , %para268 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.mlp2.batch_norm.beta
        , %para269 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.shortcut.conv.bias
        , %para270 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.shortcut.batch_norm.gamma
        , %para271 : Ref[Tensor(F32)][32]    # moment1.network.encoder.0.shortcut.batch_norm.beta
        , %para272 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse1.mlp.conv.bias
        , %para273 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse1.mlp.batch_norm.gamma
        , %para274 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse1.mlp.batch_norm.beta
        , %para275 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse2.mlp.conv.bias
        , %para276 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse2.mlp.batch_norm.gamma
        , %para277 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.lse2.mlp.batch_norm.beta
        , %para278 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.pool1.mlp.conv.bias
        , %para279 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.pool1.mlp.batch_norm.gamma
        , %para280 : Ref[Tensor(F32)][8]    # moment1.network.encoder.0.pool1.mlp.batch_norm.beta
        , %para281 : Ref[Tensor(F32)][16]    # moment1.network.encoder.0.pool2.mlp.conv.bias
        , %para282 : Ref[Tensor(F32)][16]    # moment1.network.encoder.0.pool2.mlp.batch_norm.gamma
        , %para283 : Ref[Tensor(F32)][16]    # moment1.network.encoder.0.pool2.mlp.batch_norm.beta
        , %para284 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.mlp1.conv.bias
        , %para285 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.mlp1.batch_norm.gamma
        , %para286 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.mlp1.batch_norm.beta
        , %para287 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.mlp2.conv.bias
        , %para288 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.mlp2.batch_norm.gamma
        , %para289 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.mlp2.batch_norm.beta
        , %para290 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.shortcut.conv.bias
        , %para291 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.shortcut.batch_norm.gamma
        , %para292 : Ref[Tensor(F32)][128]    # moment1.network.encoder.1.shortcut.batch_norm.beta
        , %para293 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse1.mlp.conv.bias
        , %para294 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse1.mlp.batch_norm.gamma
        , %para295 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse1.mlp.batch_norm.beta
        , %para296 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse2.mlp.conv.bias
        , %para297 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse2.mlp.batch_norm.gamma
        , %para298 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.lse2.mlp.batch_norm.beta
        , %para299 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.pool1.mlp.conv.bias
